time,MVSI,high_low,VNI_Sma200
2021-04-01,0.5702137073058591,133,238.89409999999998
2021-04-02,0.5732469855957428,159,245.2634999999999
2021-04-05,0.5747922986745975,184,254.85430000000008
2021-04-06,0.5781747103083035,191,256.69965
2021-04-07,0.5804344039927221,225,257.02390000000014
2021-04-08,0.5778495951341177,192,247.58905000000004
2021-04-09,0.5750378943586566,214,242.45304999999996
2021-04-12,0.5872335257095578,250,261.2944500000001
2021-04-13,0.595552801459031,168,255.2227499999999
2021-04-14,0.5899458875816724,187,260.8021
2021-04-15,0.5883569559638678,155,250.25279999999998
2021-04-16,0.5929242643387489,132,239.88735000000008
2021-04-19,0.5836614138177384,145,259.85065
2021-04-20,0.5783181289485744,132,265.61509999999987
2021-04-22,0.5776182404999662,102,223.43549999999982
2021-04-23,0.5692406121737084,96,242.33394999999985
2021-04-26,0.5573597562332983,90,207.99469999999997
2021-04-27,0.5330933756145464,79,210.37310000000002
2021-04-28,0.5133914872246036,89,218.52535
2021-04-29,0.49763965214068623,87,226.5353500000001
2021-05-04,0.4918373012504416,84,227.45195000000012
2021-05-05,0.49353298793856293,93,239.56214999999997
2021-05-06,0.4878183264823003,93,231.72995000000003
2021-05-07,0.49266290336891644,94,221.03309999999988
2021-05-10,0.49606711386471014,90,236.78154999999992
2021-05-11,0.49744530129536846,74,231.30414999999994
2021-05-12,0.4941723958228972,95,242.36509999999976
2021-05-13,0.49655025137988723,78,233.29615000000013
2021-05-14,0.500531716917937,93,235.63289999999984
2021-05-17,0.49889775357774385,81,225.95235000000002
2021-05-18,0.4998092004857251,83,217.92885000000024
2021-05-19,0.49983969808469875,91,225.57320000000004
2021-05-20,0.5041708119072504,82,239.03764999999999
2021-05-21,0.5140556976134552,80,242.54545000000007
2021-05-24,0.5146242460371379,88,254.31745
2021-05-25,0.5164307558994992,82,262.61175000000003
2021-05-26,0.5188577102616847,92,268.45405000000005
2021-05-27,0.5191460050684911,73,253.12329999999997
2021-05-28,0.5292132743778344,90,267.73350000000005
2021-05-31,0.5376101059550723,88,273.0610999999999
2021-06-01,0.5387347690886074,74,280.4582499999999
2021-06-02,0.5492018797669229,80,281.1246000000001
2021-06-03,0.5698883107259306,108,302.12239999999997
2021-06-04,0.5883603778788276,100,309.3899999999999
2021-06-07,0.6003934446900121,72,291.63454999999976
2021-06-08,0.6094620488088347,60,250.41055000000028
2021-06-09,0.6036706731448046,46,261.0498
2021-06-10,0.5962851602527338,55,249.2576999999999
2021-06-11,0.5980807817821815,61,274.58484999999996
2021-06-14,0.597649099049235,85,281.8230500000002
2021-06-15,0.5935550143212359,75,284.56769999999983
2021-06-16,0.5893341105521351,63,270.95074999999997
2021-06-17,0.5840975870980977,80,271.5431000000001
2021-06-18,0.5903503816970448,102,286.5774999999999
2021-06-21,0.592942979721732,82,278.71220000000017
2021-06-22,0.5926603735987428,67,283.3413499999999
2021-06-23,0.5869163193438207,53,277.55719999999997
2021-06-24,0.5730756541090479,54,277.7158999999999
2021-06-25,0.5642344348247905,78,285.3813
2021-06-28,0.5598142594460009,99,298.25765
2021-06-29,0.55430195642403,89,299.6720499999999
2021-06-30,0.5421902953053748,85,295.41454999999996
2021-07-01,0.5364272783410035,98,301.11285
2021-07-02,0.5360819592309817,102,301.45225000000005
2021-07-05,0.5330363610465015,71,289.4887500000002
2021-07-06,0.5291444484753883,36,230.63999999999987
2021-07-07,0.5245821970431663,37,261.8245999999999
2021-07-08,0.5047917744857813,36,245.4547500000001
2021-07-09,0.5028187994826618,25,215.5739500000002
2021-07-15,0.4827892925479875,21,160.2926
2021-07-16,0.48315387132508375,21,163.64469999999983
2021-07-19,0.5023911467110076,-18,106.14699999999993
2021-07-20,0.5075317166361318,7,134.06825000000003
2021-07-21,0.503526238741355,7,129.65554999999995
2021-07-22,0.511226441685343,25,150.51790000000005
2021-07-26,0.5162622821913257,32,127.64094999999998
2021-07-27,0.5248395011029569,25,129.92039999999997
2021-07-28,0.5227808098367158,10,128.11504999999988
2021-07-29,0.5301180951072821,20,142.6643999999999
2021-07-30,0.5478627962653724,47,157.05134999999996
2021-08-02,0.568598453660996,36,159.19269999999983
2021-08-03,0.5827776892292622,51,175.28144999999995
2021-08-04,0.5952869351772224,32,175.47024999999985
2021-08-05,0.6069622512748949,48,184.09539999999993
2021-08-06,0.6246711453660272,58,177.82950000000005
2021-08-09,0.6413387811240655,90,193.96659999999997
2021-08-10,0.6630634252476055,95,194.25049999999987
2021-08-11,0.6859109323965645,89,187.39200000000005
2021-08-12,0.7016425854646213,68,180.43629999999985
2021-08-13,0.7112608906549304,83,182.22444999999993
2021-08-16,0.7258705121422563,82,193.85800000000017
2021-08-17,0.7348498632810073,61,183.7711499999998
2021-08-18,0.7356646947447919,79,179.40845000000013
2021-08-19,0.737146542857257,89,191.0641999999998
2021-08-20,0.756574685429669,57,143.62619999999993
2021-08-23,0.7487584014362445,53,111.21119999999996
2021-08-24,0.7321012397172957,35,109.29840000000013
2021-08-25,0.7009225793215533,24,118.27444999999989
2021-08-26,0.6788484099099285,45,108.05534999999986
2021-08-27,0.6638914490689575,87,118.28780000000029
2021-08-30,0.6639442572788369,103,131.28289999999993
2021-08-31,0.6661342292212536,95,132.65069999999992
2021-09-01,0.6673054532263843,125,133.90695000000005
2021-09-06,0.6809473273061667,147,143.72129999999993
2021-09-07,0.6843208346135922,70,137.27580000000012
2021-09-08,0.6646624516158056,54,127.05009999999993
2021-09-09,0.6453263595865294,93,135.30545000000006
2021-09-10,0.6365994788804972,128,134.51654999999982
